nome,aluno_no_momento,anos_matriculados,ano_de_entrada,ano_de_saida,aluno_em_2016,aluno_em_2017,aluno_em_2018,aluno_em_2019,aluno_em_2020,fase_em_2020,aluno_em_2021,fase_em_2021,aluno_em_2022,fase_em_2022
ALUNO-1173,False,1,2019,2020.0,False,False,False,True,True,5.0,False,,False,
ALUNO-1174,True,3,2019,,False,False,False,True,True,5.0,True,6.0,True,6.0
ALUNO-1175,False,2,2020,2021.0,False,False,False,False,True,1.0,True,1.0,False,
ALUNO-1176,True,3,2017,,False,True,True,True,True,5.0,True,5.0,True,6.0
ALUNO-1177,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1178,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-1179,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1180,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1181,True,3,2019,,False,False,False,True,True,0.0,True,1.0,True,1.0
ALUNO-1182,True,2,2021,,False,False,False,False,False,,True,0.0,True,0.0
ALUNO-1183,False,1,2021,2021.0,False,False,False,False,False,,True,1.0,False,
ALUNO-1184,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1185,True,1,2022,,False,False,False,False,False,,False,,True,1.0
ALUNO-1186,True,1,2022,,False,False,False,False,False,,False,,True,3.0
ALUNO-1187,False,1,2019,2020.0,False,False,False,True,True,2.0,False,,False,
ALUNO-1188,False,1,2019,2020.0,False,False,False,True,True,7.0,False,,False,
ALUNO-1189,False,1,2019,2020.0,False,False,False,True,True,8.0,False,,False,
ALUNO-1190,True,3,2019,,False,False,False,True,True,2.0,True,2.0,True,3.0
ALUNO-1191,True,3,2017,,False,True,True,True,True,3.0,True,3.0,True,4.0
ALUNO-1192,True,1,2022,,False,False,False,False,False,,False,,True,2.0
ALUNO-1193,False,1,2020,2020.0,False,False,False,False,True,2.0,False,,False,
ALUNO-1194,True,1,2022,,False,False,False,False,False,,False,,True,1.0
